node_1|node_2|edge|chunk_id
fpgas|microprocessors|However, those sorts of embedded applications in aerospace, military, industrial, and automotive markets don’t dovetail well with Intel’s intense marketing focus on data center, PC, and X86 microprocessor stories. FPGAs make excellent companions to microprocessors.|387915f501c447d59353cbc9329fd133
intel psg|data center|Nearly everything that Intel offers is framed as a Xeon helper.|387915f501c447d59353cbc9329fd133
intel|ifs|Exposes more shareholder value for Intel by spinning off the Programmable Systems Group (Altera) as an independent company, immediately gaining a new external customer for IFS.|169a66be0d984b7082c5c074bd0467e7
psg|new altera?|Wins back independence needed to compete in the FPGA arena by being spun off from Intel, while retaining the manufacturing might of IFS.|169a66be0d984b7082c5c074bd0467e7
fpga customers|strong competitor|Gains a strong competitor back in the fight to keep other FPGA players in check due to spin-off of Programmable Systems Group (Altera) from Intel.|169a66be0d984b7082c5c074bd0467e7
lattice|microchip|May lose market share in low-end and mid-range segments due to distracting influence of Intel corporate marketing's narrow Xeon-centric focus.|169a66be0d984b7082c5c074bd0467e7
intel|programmable systems group (altera)|Intel spins off the Programmable Systems Group (Altera)|465c3b755a594b2db513e406bfe997bd
amd|xilinx|AMD buys Xilinx|465c3b755a594b2db513e406bfe997bd
intel-altera|amd-xilinx|Software developer's interpretation: Intel += Altera; AMD += Xilinx;|465c3b755a594b2db513e406bfe997bd
intel|altera|Intel -= Altera;|465c3b755a594b2db513e406bfe997bd
intel-altera|5g ai-enabled sbc|This powerful credit-card-sized, single board computer (SBC) with cellular connectivity and a neural processor for AI/ML workloads is available for pre-order on Kickstarter. It is related to Intel-Altera because it showcases Intel's AI technology and is part of the company's 5G strategy.|465c3b755a594b2db513e406bfe997bd
data centers|effective cooling system|Larsen & Toubro, a company known for building large structures such as stadiums, has ventured into designing data centers. Since IT equipment in data centers generates heat, an efficient and effective cooling system is crucial. Cadence Reality DC Design Software is used by Larsen & Toubro to simulate and analyze the cooling system.|f5a0d7e66f0c4d72a8878ba18292ad53
stepper motors|solutions to drive these motors|In Chalk Talk, Amelia Dalton and Doug Day from Toshiba examine the different types of stepper motors and how Toshiba’s motor control solutions, such as active gain control and ADMD, can make a difference in designs.|f5a0d7e66f0c4d72a8878ba18292ad53
larsen & toubro|world's largest fifa stadium|Larsen & Toubro built the world’s largest FIFA stadium in Qatar.|f5a0d7e66f0c4d72a8878ba18292ad53
larsen & toubro|world’s tallest statue|Larsen & Toubro also built the world’s tallest statue.|f5a0d7e66f0c4d72a8878ba18292ad53
larsen & toubro|one of the world’s most sophisticated cricket stadiums|Larsen & Toubro constructed one of the world’s most advanced cricket stadiums as well.|f5a0d7e66f0c4d72a8878ba18292ad53
cadence design systems|reality dc design software|Cadence Design Systems is sponsoring and being used by Larsen & Toubro to simulate and analyze the cooling system for their new data center venture.|f5a0d7e66f0c4d72a8878ba18292ad53
mouser electronics|toshiba motor control solutions|Mouser Electronics is sponsoring and examining stepper motors and Toshiba’s motor control solutions, which can add value to electronic designs.|f5a0d7e66f0c4d72a8878ba18292ad53
techfocus media, inc.|all material on this site|techfocus media, inc. Owns all rights to the material presented on their website.|f5a0d7e66f0c4d72a8878ba18292ad53
ee journal daily|subscribe|The user can subscribe to EE Journal Daily through the given link.|f5a0d7e66f0c4d72a8878ba18292ad53
